26,14,40,Si,5429.679,230.079,7661.754,5.752,5829
25,15,40,P,-8074.425,111.199,7979.798,2.78,991331.748
24,16,40,S,-22837.846,3.982,8329.325,0.1,975482.562
23,17,40,Cl,-27557.813,32.066,8427.765,0.802,970415.469
22,18,40,Ar,-35039.89464,0.00224,8595.259,0,962383.1237
21,19,40,K,-33535.492,0.056,8538.09,0.001,963998.166
20,20,40,Ca,-34846.386,0.021,8551.304,0.001,962590.863
19,21,40,Sc,-20523.336,2.828,8173.669,0.071,977967.291
18,22,40,Ti,-8850.386,160,7862.286,4,990498.719
27,14,41,Si,12119.668,369.803,7508.573,9.02,13011
26,15,41,P,-4979.767,80.108,7906.551,1.954,994654
25,16,41,S,-19008.577,4.099,8229.635,0.1,979593.451
24,17,41,Cl,-27307.189,68.723,8412.959,1.676,970684.525
23,18,41,Ar,-33067.505,0.347,8534.372,0.008,964500.57
22,19,41,K,-35559.54329,0.0038,8576.072,0,961825.2579
21,20,41,Ca,-35137.887,0.138,8546.706,0.003,962277.924
20,21,41,Sc,-28642.411,0.083,8369.198,0.002,969251.105
19,22,41,Ti,-15697.537,27.945,8034.388,0.682,983148
27,15,42,P,1009.739,209.586,7767.866,4.99,1084
26,16,42,S,-17637.746,2.794,8193.227,0.067,981065.1
25,17,42,Cl,-24912.99,143.76,8347.819,3.423,973254.804
24,18,42,Ar,-34422.675,5.775,8555.613,0.138,963045.736
23,19,42,K,-35022.026,0.106,8551.256,0.003,962402.306
22,20,42,Ca,-38547.243,0.149,8616.563,0.004,958617.83
21,21,42,Sc,-32121.143,0.169,8444.933,0.004,965516.532
20,22,42,Ti,-25104.663,0.277,8259.247,0.007,973049.034
28,15,43,P,4679.826,369.803,7689.572,8.6,5024
27,16,43,S,-12195.459,4.97,8063.827,0.116,986907.635
26,17,43,Cl,-24322.627,95.336,8327.66,2.217,973888.584
25,18,43,Ar,-32009.808,5.31,8488.237,0.123,965636.055
24,19,43,K,-36575.389,0.41,8576.22,0.01,960734.702
23,20,43,Ca,-38408.815,0.228,8600.663,0.005,958766.438
22,21,43,Sc,-36188.1,1.863,8530.825,0.043,961150.474
21,22,43,Ti,-29321.084,7.245,8352.932,0.168,968522.52
20,23,43,V,-17916.356,42.849,8069.512,0.996,980766
28,16,44,S,-9204.234,5.216,7996.015,0.119,990118.848
27,17,44,Cl,-20609.73,188.38,8237.45,4.281,977874.543
26,18,44,Ar,-32673.255,1.584,8493.84,0.036,964923.815
25,19,44,K,-35781.492,0.419,8546.701,0.01,961586.985
